Rank,Japanese,Kana,Vietnamese,English
1,できる,できる,có thể,can
2,その,その,cái đó,that
3,使う,つかう,sử dụng,use
4,情報,じょうほう,thông tin,information
5,データ,でーた,dữ liệu,data
6,場合,ばあい,trường hợp,case
7,必要,ひつよう,cần thiết,necessary
8,機能,きのう,chức năng,function
9,行う,おこなう,thực hiện,execute
10,サイト,さいと,trang web,website
11,利用する,りようする,sử dụng,use
12,開発する,かいはつする,phát triển,develop
13,サービス,さーびす,dịch vụ,service
14,可能,かのう,có khả năng,possible
15,ファイル,ふぁいる,tài liệu,file
16,表示する,ひょうじする,hiển thị,display(view)
17,提供する,ていきょうする,cung cấp,supply
18,システム,しすてむ,hệ thống,system
19,ページ,ぺーじ,trang,page
20,画面,がめん,màn hình,screen
21,管理する,かんりする,quản lý,control
22,現在,げんざい,hiện nay,current(now)
23,環境,かんきょう,môi trường,environment
24,使用する,しようする,sử dụng,use
25,設定する,せっていする,thiết lập(cài đặt),setting
26,対応する,たいおうする,hỗ trợ,support
27,化する,かする,chuyển biến,transform
28,プログラム,ぷろぐらむ,chương trình,program
29,内容,ないよう,nội dung,content
30,含む,ふくむ,bao gồm,contain
31,メールアドレス,めーるあどれす,địa chỉ mail,mail address
32,サーバ,さーば,server,server
33,向け,むけ,dành cho đối tượng,(bound [headed]) for
34,処理する,しょりする,xử lý,process
35,コード,こーど,code,code
36,アプリケーション,あぷりけーしょん,application,application
37,インストールする,いんすとーるする,cài đặt vào,install
38,全て,すべて,toàn bộ,all
39,ソフトウェア,そふとうぇあ,phần mềm,software
40,技術,ぎじゅつ,kỹ thuật,technology
41,公開する,こうかいする,công bố(ra mắt),expose(publish)
42,追加する,ついかする,thêm vào,add
43,認証する,にんしょうする,chứng thực,authenticate
44,複数,ふくすう,nhiều,plural
45,新しい,あたらしい,mới,new
46,作成する,さくせいする,tạo ra,create
47,プロジェクト,ぷろじぇくと,dự án,project
48,テストする,てすとする,kiểm thử,test
49,対象,たいしょう,đối tượng,subject(target)
50,関連,かんれん,liên quan,in connection with..
51,検索する,けんさくする,tìm kiếm,search
52,部分,ぶぶん,bộ phận,part(section)
53,ツール,つーる,dụng cụ,tool
54,実行する,じっこうする,thực hiện,execute
55,一部,いちぶ,một phần,a part
56,操作する,そうさする,điều khiển,operate(handle)
57,アクセスする,あくせすする,truy cập,access
58,番号,ばんごう,số,number
59,用意する,よういする,chuẩn bị ,prepare
60,通信する,つうしんする,truyền tin,transmit
61,バージョン,ばーじょん,phiên bản,version
62,データベース,でーたべーす,cơ sở dữ liệu,database
63,作業,さぎょう,công việc,work
64,変更する,へんこうする,thay đổi,change
65,基本,きほん,cơ bản,basic
66,接続する,せつぞくする,kết nối,connect
67,専用,せんよう,chuyên dụng,exclusive
68,それぞれ,それぞれ,mỗi thứ,each
69,個人,こじん,cá nhân,individual
70,得る,える,đạt được,get
71,ネットワーク,ねっとわーく,mạng,network
72,端末,たんまつ,thiết bị,device
73,目的,もくてき,mục đích,target
74,日本語,にほんご,tiếng nhật,japanese
75,一般,いっぱん,thông thường,general
76,標準,ひょうじゅん,tiêu chuẩn,standard
77,パッケージソフトウェア,ぱっけーじそふとうぇあ,gói phần mềm,package software
78,これら,これら,những cái này,these
79,確認する,かくにんする,xác nhận,confirm
80,入力する,にゅうりょく,nhập vào,input
81,リンクする,りんくする,link,link
82,種類,しゅるい,loại,kind(sort)
83,動作する,どうさする,hoạt động,operate
84,ベース,べーす,nền(nền tảng),base
85,仕様,しよう,thông số kỹ thuật,specification
86,グループ,ぐるーぷ,nhóm,group
87,ボタン,ぼたん,nút,button
88,異なる,ことなる,khác với,different
89,指定する,していする,chỉ định,appoint
90,メモリ,めもり,lưu trữ,memory
91,トップ,とっぷ,trên đầu,top
92,パスワード,ぱすわーど,mật khẩu,password
93,まとめる,まとめる,sắp xếp,arrange(collect)
94,コンテンツ,こんてんつ,thành phần,content
95,登録する,とうろくする,đăng ký,register
96,特定する,とくていする,định rõ,specify(isolate)
97,重要,じゅうよう,quan trọng,important
98,編集する,へんしゅうする,sửa,edit
99,発生する,はっせいする,xảy ra,occur
100,サポートする,さぽーとする,hỗ trợ,support
101,構成する,こうせいする,,
102,製品,せいひん,,
103,言語,げんご,,
104,外部,がいぶ,,
105,存在する,そんざいする,,
106,保存する,ほぞんする,,
107,用いる,もちいる,,
108,インターネット,いんたーねっと,,
109,形式,けいしき,,
110,研究,けんきゅう,,
111,ごと,ごと,,
112,同様,どうよう,,
